"","NATCODE","COD_INE","PROVINCIA","MUN_NAME","POBLACION_MUNI","Area..km2.","POBLACION_CAPITAL","CAI_num","X2020_indGini","X2020_indP80.P20","X2020_indUnitCons.60.","X2020_income_mean_HH","X2020_income_mean_PP","Popul.Density..peopl.km2.","population_log","PV.20kw.capacity","PV.20kw.units","tot_units_PV","tot_cap_PV","cap_PV.20kW","wind.onshore","cogenNG.B_OilCoal","solar_therm","HP_gen","hydro.10MW","hydro.10MW.1","cogenWastBio","other_pow_plans","PoorHousing.","VulnerableAge.","Unemployed.","HigherEdu.","LowEdu.","X2021_POBLACION_MUNI","X..male","X..female","gender.ratio..m.f.","hydro_total","Renewable_profile","Income_level_PP","CCAA","Con_CAI"
"1620",34070909373,9373,"Burgos","Sotresgudo",433,172.193472,90,NA,27.6,2.7,NA,27810,13495,2.51461332982472,2.63648789635337,10000,1,9,150000,140000,0,0,0,0,0,0,0,0,8,0.401805869074492,0.508313539192399,0.196217494089835,0.645390070921986,443,57.7878103837472,42.2121896162528,"1.3689839572192513",0,"Solar PV","Medium Income","Castilla y León","Sin CAIs"
"1621",34070909374,9374,"Burgos","Susinos del Páramo",115,11.454412,115,NA,20.4,1.8,NA,48776,18129,10.0397995113149,2.06069784035361,0,0,0,80000,80000,0,0,0,0,0,0,0,0,0,0.265486725663717,0.431372549019608,0.514563106796116,0.262135922330097,113,62.8318584070796,37.1681415929204,"1.6904761904761905",0,"Solar PV","High Income","Castilla y León","Sin CAIs"
"1622",34070909375,9375,"Burgos","Tamarón",44,15.656252,39,NA,28.8721,NA,NA,28074.6147,14981,2.81037888250649,1.64345267648619,0,0,0,100000,100000,0,0,0,0,0,0,0,0,0,0.219512195121951,NA,NA,NA,41,60.9756097560976,39.0243902439024,"1.5625",0,"Solar PV","Medium Income","Castilla y León","Sin CAIs"
"1623",34070909377,9377,"Burgos","Tardajos",812,12.7223,812,NA,22.9,2,7.4,34617,13445,63.8249373147937,2.90955602924118,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.304619225967541,0.451470588235294,0.058055152394775,0.00725689404934688,801,53.8077403245943,46.1922596754057,"1.164864864864865",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1624",34070909378,9378,"Burgos","Tejada",34,22.744808,34,NA,28.872,NA,NA,28075.6594,14981,1.49484664807898,1.53147891704226,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.176470588235294,NA,NA,NA,34,55.8823529411765,44.1176470588235,"1.2666666666666666",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1625",34070909380,9380,"Burgos","Terradillos de Esgueva",69,14.394934,69,NA,28.872,NA,NA,28075.6594,14981,4.79335299488,1.83884909073726,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.465753424657534,0.583333333333333,0.263888888888889,0.638888888888889,73,47.945205479452,52.0547945205479,"0.9210526315789473",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1626",34070909381,9381,"Burgos","Tinieblas de la Sierra",27,29.380203,14,NA,28.872,NA,NA,28075.6594,14981,0.918986162212698,1.43136376415899,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0.75,NA,NA,NA,28,53.5714285714286,46.4285714285714,"1.1538461538461537",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1627",34070909382,9382,"Burgos","Tobar",26,11.955677,24,NA,28.872,NA,NA,28075.6594,14981,2.1746990990138,1.41497334797082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,NA,NA,NA,22,72.7272727272727,27.2727272727273,"2.6666666666666665",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1628",34070909384,9384,"Burgos","Tordómar",324,30.059467,302,NA,28.1,2.4,NA,30591,13513,10.7786342319376,2.51054501020661,0,0,0,0,0,0,0,0,0,0,0,7400000,0,3,0.361702127659574,0.506535947712418,0.274509803921569,0.57516339869281,329,55.9270516717325,44.0729483282675,"1.2689655172413794",0,"Cogeneration/Biomass","Medium Income","Castilla y León","Sin CAIs"
"1629",34070909386,9386,"Burgos","Torrecilla del Monte",78,14.9269,67,NA,28.872,NA,NA,28075.6594,14981,5.22546543488601,1.89209460269048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383561643835616,0.491803278688525,0.262295081967213,0.524590163934426,73,56.1643835616438,43.8356164383562,"1.28125",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1630",34070909387,9387,"Burgos","Torregalindo",123,15.358396,123,NA,23.7,2.6,NA,33729,14172,8.0086488198377,2.0899051114394,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.45,0.570093457943925,0.314814814814815,0.564814814814815,120,61.6666666666667,38.3333333333333,"1.608695652173913",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1631",34070909388,9388,"Burgos","Torrelara",34,12.512252,34,NA,28.872,NA,NA,28075.6594,14981,2.71733657538227,1.53147891704226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176470588235294,NA,NA,NA,34,58.8235294117647,41.1764705882353,"1.4285714285714286",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1632",34070909389,9389,"Burgos","Torrepadre",72,28.56028,72,NA,28.872,NA,NA,28075.6594,14981,2.52098368783499,1.85733249643127,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.473684210526316,0.546666666666667,0.24,0.573333333333333,76,57.8947368421053,42.1052631578947,"1.375",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1633",34070909390,9390,"Burgos","Torresandino",583,93.199017,583,NA,26.4,2.4,8.6,38751,14450,6.25543078421095,2.76566855475901,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.356302521008403,0.514035087719298,0.042031523642732,0.00175131348511384,595,53.6134453781513,46.3865546218487,"1.1557971014492754",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1634",34070909391,9391,"Burgos","Tórtoles de Esgueva",406,79.200021,313,NA,30.3,2.9,NA,28133,12834,5.12626126702668,2.60852603357719,0,0,2,186000,186000,0,0,0,0,0,0,0,0,7,0.420398009950249,0.516216216216216,0.2171581769437,0.635388739946381,402,53.4825870646766,46.5174129353234,"1.1497326203208555",0,"Solar PV","Medium Income","Castilla y León","Sin CAIs"
"1635",34070909392,9392,"Burgos","Tosantos",51,5.73521,51,NA,28.872,NA,NA,28075.6594,14981,8.89243811473338,1.70757017609794,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.375,0.471698113207547,0.245283018867925,0.60377358490566,56,55.3571428571429,44.6428571428571,"1.24",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1636",34070909394,9394,"Burgos","Trespaderne",735,36.81159,619,NA,31.5,2.6,20.5,25588,12586,19.9665377127149,2.8662873390842,0,0,0,60000,60000,0,0,0,0,0,0,0,0,0,0.392572944297082,0.591690544412607,0.0327635327635328,NA,754,49.0716180371353,50.9283819628647,"0.9635416666666666",0,"Solar PV","Medium Income","Castilla y León","Sin CAIs"
"1637",34070909395,9395,"Burgos","Tubilla del Agua",135,78.687775,40,NA,35.6,3.4,NA,25704,16407,1.71564134327092,2.13033376849501,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0.436619718309859,0.607407407407407,0.385185185185185,0.437037037037037,142,60.5633802816901,39.4366197183099,"1.5357142857142858",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1638",34070909396,9396,"Burgos","Tubilla del Lago",165,23.206225,146,NA,30.8,2.7,NA,26351,11834,7.11016117442626,2.21748394421391,0,0,2,101000,101000,0,0,0,0,0,0,0,0,4,0.425149700598802,0.559748427672956,0.238993710691824,0.484276729559748,167,53.2934131736527,46.7065868263473,"1.141025641025641",0,"Solar PV","Low Income","Castilla y León","Sin CAIs"
"1639",34070909398,9398,"Burgos","Úrbel del Castillo",67,30.831635,36,NA,28.6602,NA,NA,27853.8449,14981,2.17309266926649,1.82607480270083,0,0,0,0,0,49600000,0,0,0,0,0,0,0,42,0.402985074626866,0.461538461538462,0.261538461538462,0.553846153846154,67,65.6716417910448,34.3283582089552,"1.9130434782608696",0,"Wind Onshore","Medium Income","Castilla y León","Sin CAIs"
"1640",34070909400,9400,"Burgos","Vadocondes",369,25.690985,369,NA,28.1,2.6,NA,29779,12458,14.3630148863502,2.56702636615906,0,0,0,0,0,0,0,0,0,1000000,0,0,0,9,0.388101983002833,0.538216560509554,0.277602523659306,0.536277602523659,353,54.6742209631728,45.3257790368272,"1.20625",1e+06,"Hydro","Medium Income","Castilla y León","Sin CAIs"
"1641",34070909403,9403,"Burgos","Valdeande",99,30.984748,99,NA,28.872,NA,NA,29619,14981,3.19512038632685,1.99563519459755,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.383838383838384,0.463917525773196,0.381443298969072,0.402061855670103,99,58.5858585858586,41.4141414141414,"1.4146341463414633",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1642",34070909405,9405,"Burgos","Valdezate",122,20.474834,122,NA,31.6,2.5,NA,29142,13161,5.95853426699332,2.08635983067475,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.467741935483871,0.596638655462185,0.252100840336134,0.571428571428571,124,58.8709677419355,41.1290322580645,"1.4313725490196079",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1643",34070909406,9406,"Burgos","Valdorros",333,16.641768,333,NA,26.1,2.1,NA,30900,14552,20.0098931796189,2.52244423350632,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.281976744186047,0.370629370629371,0.365853658536585,0.341463414634146,344,57.2674418604651,42.7325581395349,"1.3401360544217686",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1644",34070909407,9407,"Burgos","Valmala",27,16.965908,27,NA,28.872,NA,NA,28075.6594,14981,1.59142676006495,1.43136376415899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,NA,NA,NA,25,48,52,"0.9230769230769231",0,"None","Medium Income","Castilla y León","Sin CAIs"
